pmid,author,weightage
33860503,Berk Cimenoglu,0.2
33860503,Recep Demirhan,0.2
33807521,Anna Gidari,0.08333
33807521,Samuele Sabbatini,0.08333
33807521,Sabrina Bastianelli,0.08333
33807521,Sara Pierucci,0.08333
33807521,Chiara Busti,0.08333
33807521,Desirée Bartolini,0.08333
33807521,Anna Maria Stabile,0.08333
33807521,Claudia Monari,0.08333
33807521,Francesco Galli,0.08333
33807521,Mario Rende,0.08333
33807521,Gabriele Cruciani,0.08333
33807521,Daniela Francisci,0.08333
32621616,Eddie Chi-Man Leung,0.25
32621616,Viola Chi-Ying Chow,0.25
32621616,May Kin-Ping Lee,0.25
32621616,Raymond Wai-Man Lai,0.25
32838064,Andri Frediansyah,0.2
32838064,Firzan Nainu,0.2
32838064,Kuldeep Dhama,0.2
32838064,Mudatsir Mudatsir,0.2
32838064,Harapan Harapan,0.2
33567229,Orison O Woolcott,0.5
33567229,Richard N Bergman,0.5
32743604,Anne M Neilan,0.05882
32743604,Elena Losina,0.05882
32743604,Audrey C Bangs,0.05882
